Session Time,Completed Step
49.320362,Pour Broth
88.827782,Add Beef
91.632935,Add Beef
94.688255,Add Beef
98.191216,Add Beef
112.02066,Add Beef
114.194054,Add Beef
119.983139,Add Beef
119.994614,Add Beef
149.752808,Add Onion
153.211243,Add Onion
164.709869,Add Onion
166.462677,Add Onion
187.992966,Add Tomtato
190.036392,Add Tomtato
197.224228,Add Tomtato
201.017181,Add Tomtato
215.412918,Add Potato
217.62561,Add Potato
220.031433,Add Potato
221.765411,Add Potato
252.435852,Add Carrot
255.36972,Add Carrot
261.834839,Add Carrot
263.990234,Add Carrot
271.83432,Add Carrot
272.100372,Add Carrot
289.382111,Add Carrot
291.45163,Add Carrot
309.649231,Add Salt
315.104279,Add pepper
352.999298,Stir Stew
