Session Time,Completed Step
132.931732,Pour Broth
167.333527,Add Beef
181.775299,Add Beef
186.030533,Add Beef
194.727142,Add Beef
219.04808,Add Beef
221.667404,Add Beef
259.994415,Add Beef
264.727051,Add Beef
280.28183,Add Tomtato
282.679901,Add Tomtato
295.121185,Add Tomtato
304.653717,Add Tomtato
320.662384,Add Potato
325.617554,Add Potato
336.330597,Add Potato
339.560028,Add Potato
358.93042,Add Carrot
361.773407,Add Carrot
386.889008,Add Carrot
389.516571,Add Carrot
400.10202,Add Carrot
402.780823,Add Carrot
412.46814,Add Carrot
414.329315,Add Carrot
425.140503,Add Salt
435.719299,Add pepper
452.4935,Stir Stew
