Session Time,Completed Step
62.321751,Pour Broth
117.056831,Add Beef
119.076569,Add Beef
121.729149,Add Beef
125.916542,Add Beef
158.953995,Add Onion
160.433105,Add Onion
161.826584,Add Onion
163.629196,Add Onion
177.109039,Add Tomtato
178.644821,Add Tomtato
180.151306,Add Tomtato
182.366425,Add Tomtato
195.855637,Add Potato
197.382126,Add Potato
198.902939,Add Potato
201.02121,Add Potato
216.844009,Add Carrot
218.425858,Add Carrot
219.897675,Add Carrot
221.699905,Add Carrot
223.149307,Add Carrot
224.70874,Add Carrot
226.364029,Add Carrot
227.985764,Add Carrot
237.68515,Add pepper
242.362305,Add Salt
251.382736,Stir Stew
