Session Time,Completed Step
54.208454,Pour Broth
137.958542,Add Beef
142.034592,Add Beef
145.523331,Add Beef
149.222183,Add Beef
152.087357,Add Beef
155.289383,Add Beef
160.043152,Add Beef
163.216827,Add Beef
206.553528,Add Onion
206.619797,Add Onion
211.721558,Add Onion
225.150772,Add Onion
251.27829,Add Tomtato
253.491364,Add Tomtato
255.548157,Add Tomtato
258.15332,Add Tomtato
281.070221,Add Potato
283.152252,Add Potato
285.442139,Add Potato
287.308624,Add Potato
336.499756,Add Carrot
339.267181,Add Carrot
341.147308,Add Carrot
346.889008,Add Carrot
350.128876,Add Carrot
352.56366,Add Carrot
357.418243,Add Carrot
367.434906,Add Carrot
451.59256,Stir Stew
