Session Time,Completed Step
21.683277,Pour Broth
44.064873,Add Beef
45.452015,Add Beef
46.233425,Add Beef
47.487385,Add Beef
68.652435,Add Beef
69.804504,Add Beef
71.13018,Add Beef
72.385132,Add Beef
91.214973,Add Onion
94.978172,Add Onion
95.881561,Add Onion
97.75692,Add Onion
114.387749,Add Tomtato
116.084389,Add Tomtato
117.787422,Add Tomtato
119.528969,Add Tomtato
132.492538,Add Potato
133.446808,Add Potato
138.571228,Add Potato
139.426575,Add Potato
150.959854,Add Carrot
152.557602,Add Carrot
153.888641,Add Carrot
155.471497,Add Carrot
163.513336,Add Carrot
164.433395,Add Carrot
165.632446,Add Carrot
167.031326,Add Carrot
174.353302,Add pepper
180.964905,Add Salt
198.272446,Stir Stew
