Session Time,Completed Step
54.478756,Pour Broth
96.181305,Add Beef
97.570488,Add Beef
98.837303,Add Beef
100.291786,Add Beef
109.801949,Add Beef
111.144646,Add Beef
112.255348,Add Beef
114.288162,Add Beef
151.293625,Add Onion
153.171234,Add Onion
163.480225,Add Onion
165.036194,Add Onion
178.522705,Add Tomtato
182.354492,Add Tomtato
187.532166,Add Tomtato
189.165024,Add Tomtato
208.884613,Add Potato
210.537323,Add Potato
215.513977,Add Potato
216.93692,Add Potato
236.634354,Add Carrot
243.177414,Add Carrot
254.441574,Add Carrot
255.908066,Add Carrot
258.519043,Add Carrot
260.451782,Add Carrot
267.818115,Add Carrot
269.294708,Add Carrot
287.212769,Add pepper
296.333313,Add Salt
324.162415,Stir Stew
